max_date;stid;max
2014-06-08;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2014-06-09;105307c4-8562-45e4-9cc2-a04ef4a19400;163
2014-06-10;105307c4-8562-45e4-9cc2-a04ef4a19400;164
2014-06-11;105307c4-8562-45e4-9cc2-a04ef4a19400;164
2014-06-12;105307c4-8562-45e4-9cc2-a04ef4a19400;165
2014-06-13;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-14;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-15;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-16;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-17;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-18;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-19;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-20;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-21;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-22;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-23;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-24;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-25;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-26;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-27;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-28;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-29;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-06-30;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-07-01;105307c4-8562-45e4-9cc2-a04ef4a19400;166
2014-07-02;105307c4-8562-45e4-9cc2-a04ef4a19400;165
2014-07-03;105307c4-8562-45e4-9cc2-a04ef4a19400;165
2014-07-04;105307c4-8562-45e4-9cc2-a04ef4a19400;165
2014-07-05;105307c4-8562-45e4-9cc2-a04ef4a19400;165
2014-07-06;105307c4-8562-45e4-9cc2-a04ef4a19400;165
2014-07-07;105307c4-8562-45e4-9cc2-a04ef4a19400;165
2014-07-08;105307c4-8562-45e4-9cc2-a04ef4a19400;165
2014-07-09;105307c4-8562-45e4-9cc2-a04ef4a19400;165
2014-07-10;105307c4-8562-45e4-9cc2-a04ef4a19400;165
2014-07-11;105307c4-8562-45e4-9cc2-a04ef4a19400;165
